Dataset,Indicator,Year,Value
Sectoral Growth Rates,Construção,2022,1.2848191681722243
Sectoral Growth Rates,Construção,2023,4.82222786019797
Sectoral Growth Rates,Construção,2024,-10.246545650113692
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2020,10.27982168193211
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2021,-9.214511559973836
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2022,3.0610272342545874
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2023,13.266079627046867
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2024,2.9293817724219684
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2020,-8.87637585576353
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2021,12.195578414460018
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2022,3.9720897809538025
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2023,13.286630153671798
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2024,10.801696099566138
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2020,-9.321825427738117
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2021,-5.322117370139834
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2022,8.201991596578594
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2023,-2.7779799018087803
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2024,-14.737915371544485
Sectoral Growth Rates,Informação e comunicação,2020,1.893761361070223
Sectoral Growth Rates,Informação e comunicação,2021,0.34582672886518395
Sectoral Growth Rates,Informação e comunicação,2022,3.32590526432317
Sectoral Growth Rates,Informação e comunicação,2023,14.704416357563566
Sectoral Growth Rates,Informação e comunicação,2024,-2.7622088670584466
Sectoral Growth Rates,Actividades financeiras,2020,7.925135609440814
Sectoral Growth Rates,Actividades financeiras,2021,5.171228698390196
Sectoral Growth Rates,Actividades financeiras,2022,30.58099444771574
Sectoral Growth Rates,Actividades financeiras,2023,1.3362141694275964
Sectoral Growth Rates,Actividades financeiras,2024,10.269384558963402
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2020,-5.1355556376763145
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2021,1.6662384078065973
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2022,7.149655479340877
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2023,9.988013624009362
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2024,-6.56036453917217
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2020,7.086511048057886
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2021,3.196276798540376
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2022,13.52442440733359
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2023,15.828888819426634
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2024,17.938064888053184
Sectoral Growth Rates,Educação,2020,25.118832341736088
Sectoral Growth Rates,Educação,2021,4.130071167054417
Sectoral Growth Rates,Educação,2022,16.624011281457783
Sectoral Growth Rates,Educação,2023,12.840771830489594
Sectoral Growth Rates,Educação,2024,3.23361004112499
Sectoral Growth Rates,Saúde e acção social,2020,3.0787761150948167
Sectoral Growth Rates,Saúde e acção social,2021,7.620852954967017
Sectoral Growth Rates,Saúde e acção social,2022,21.60015577868084
Sectoral Growth Rates,Saúde e acção social,2023,34.03013942229383
Sectoral Growth Rates,Saúde e acção social,2024,13.450470687295258
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2020,1.3518995995072558
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2021,2.4684001896502883
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2022,5.701099668435705
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2023,5.237157801114356
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2024,2.298385467236841
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2020,3.8146756728114184
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2021,3.079212148192978
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2022,9.435123551824208
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2023,4.25648951437938
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2024,6.776660034072712
Sectoral Growth Rates,Impostos sobre os Produtos,2020,-1.8117950445762143
Sectoral Growth Rates,Impostos sobre os Produtos,2021,16.607457345380183
Sectoral Growth Rates,Impostos sobre os Produtos,2022,7.144485187931027
Sectoral Growth Rates,Impostos sobre os Produtos,2023,11.858238464222136
Sectoral Growth Rates,Impostos sobre os Produtos,2024,4.119418628702398
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2020,3.1716610674051626
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2021,4.550565195846179
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2022,9.15161420889332
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2023,5.090311072585574
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2024,6.464897466940944
